floorA_days,coupledA_days,floorB_days,coupledB_days
2.220770969537107231e-01,4.534942643423253705e-01,1.455812303526093088e-01,3.892923726533498857e-02
5.077182571161132502e-02,2.638393779229096167e-02,5.607209158234998547e+00,2.686337145184706010e+00
5.876486147514807801e-01,3.026514127791912756e-01,4.060010063736857688e+00,2.554512201656731651e+00
9.816330269581051704e-01,2.030117894460454209e-01,2.071379861411425161e+00,3.451010461240057392e+00
1.098370465340881230e+00,3.648118775780255230e-01,1.119424582094517229e+00,6.974918028586764018e-01
2.867203155350639410e-01,6.012676835142364284e-01,5.888226371238750589e-01,8.874363242123062268e-01
4.859567176319333770e-01,1.511220150826463604e-01,2.215550982389078993e-01,3.771994844150008408e-01
2.431756468044484198e-01,2.142648612857996904e-01,1.010677371928537793e+00,7.789201050164348272e-01
1.390123101902468017e+00,4.942029242765436647e-01,4.203209400738740165e+00,1.413214163483109465e+00
1.100302400573273998e+00,1.612160919657637803e-01,5.906262363474260368e+00,3.174549944241976118e-01
1.494033583364399842e+00,1.077949117798144840e-01,3.344769126160291456e-02,1.033746272856798064e-02
2.029601582749685218e-01,2.400864946657003951e-01,2.341850202995942709e+00,1.061415446594524425e+01
1.484445315713599500e-01,3.085138625481600450e-01,4.163167466639498215e+00,6.865664540665218363e-01
1.926307429467872256e-01,3.556865403467665554e-01,1.276510241380348187e+00,7.813600597718450835e+00
7.953883064566003025e-02,1.458361850917916147e+00,3.091433325481018901e-02,5.968838158918983172e-01
2.298611662065658923e+00,1.182193301578611466e+00,3.326104195996111290e-01,5.975308815883922930e-02
2.250705215390778613e-01,1.042430273339708113e-01,3.261242816806899092e-01,6.986180297470402145e+00
1.207545468336900935e-01,2.029027481829230595e-01,1.025521806168978145e+00,2.349286952071022228e+00
2.297136569968034170e+00,3.202451102885982004e-01,2.176967233699368676e-01,7.597306698407301218e-01
2.029234941194493214e+00,1.594619641587128808e-02,1.689250564692699463e-01,3.242570300692734220e-01
3.551988905126989837e-01,1.417704512414715567e-01,4.295677820684901782e+00,6.994517462436507238e-02
1.606578183230961965e-01,3.939164464786482078e-01,1.953077303731048098e-01,1.124428052741829998e+00
2.974177763314319045e-01,1.663517958413995301e-01,7.048609200940140207e-01,6.622153605171736401e-02
3.119770086023996858e-01,6.597749683585779623e-01,2.860294710651062999e+00,1.075164047626858688e+00
1.281128599829628179e-01,3.915857762126978003e-01,1.067208851736849873e+00,1.021128041094198968e+00
6.530274671631695893e-02,1.335827384154085196e-01,1.004885023622466705e-01,1.029384834762081979e+00
3.313062851556204391e-01,3.082306165495314887e-01,9.759099106250735955e-01,2.722099550937527937e-02
3.251332913647026590e+00,2.960032488881375601e-01,1.202439453856377227e+01,1.272860721018332919e+00
4.803837561252284338e-01,9.699333496516542308e-01,1.417375152955918871e+00,3.881121530697814181e-01
6.073876359860767016e-01,2.040577081909464019e-01,2.005646932723704978e+00,1.416313476272222038e+00
2.679036339663423694e-01,5.559298083671040253e-02,1.535759416990719384e+00,4.476162430992983721e-01
9.432127696463231681e-01,1.322314227247969320e+00,1.091052968431019510e+00,2.925891114332327542e-02
1.770747637127332019e-01,2.145486984381426154e-01,3.353594390059793540e+00,8.066178372238333449e-02
2.121029184730627293e+00,8.398869098822220325e-01,8.491134296002659232e-01,2.680313951114252635e-01
3.089403480270179192e-01,4.476617518879059121e-01,1.333109241537539180e+00,3.923529909865658971e-01
3.367592811824707155e+00,8.272765551153164754e-02,5.741284048856742928e+00,3.481874549989373568e-02
1.473810223505635397e+00,3.193424995824017398e-01,3.502841658348331055e+00,9.361847329158009545e-01
1.338211175951543319e-01,8.009555164793883408e-01,2.043923564717829766e+00,5.706272146910507104e-01
4.089899799326359719e+00,8.639909906691930486e-01,1.462157718636651005e+00,2.803729817664155632e-01
1.288749130227756501e+00,1.431374475830677895e+00,5.092341175972293854e+00,2.072900171558090740e-02
2.229126316504458916e-01,4.904195799637011133e-01,8.283659868260603854e-02,3.157944901424704076e-01
1.923078626234032140e-01,4.418190059619161447e-01,7.283939663149162413e+00,6.000327274865747684e-01
6.363461201236764175e-01,2.610694636384097156e-01,1.748710242263622927e+00,7.944401282014278420e-01
5.995788888183622989e-01,2.975598701490054232e-01,2.421705470227589085e+00,2.120052766781425208e-02
1.661089750766468476e-01,1.618782506739130933e-01,2.170177382623424689e-01,6.664021896617490504e-02
5.073654154590342413e-01,3.977630889870764630e-01,5.998311567488904039e+00,2.383978990101311146e-01
5.241036233270015554e-01,8.577642688072470434e-02,1.496779451948398565e+00,1.022821322669857702e+00
1.656025680192609040e-01,1.362547008154650630e-01,2.720789195992598053e+00,5.077030651031776837e-02
5.995397757811842671e-02,6.426734848764124007e-03,1.326770474088397656e+00,1.864148522937330299e-01
9.877198831219564934e-02,1.751228974638279270e-02,8.936210454073086062e-02,2.641595442599132260e-01
8.984142415470224297e-01,7.274749938075013578e-01,9.259593918928569201e-01,1.746216036720008802e+00
5.494120840879241907e-01,1.117263294381688699e+00,1.934101164944795892e+00,9.016423320533434316e-01
7.008842691843021333e-01,2.120021952253346442e-01,2.119043931145874637e+00,9.830485084365077064e-01
5.014215648290550886e-01,2.168355668140098391e+00,3.441629069559093979e-01,8.821909896742868851e-01
3.368489061478874835e-01,1.258425088974529871e+00,1.444830377730027093e+00,5.954586328925301153e+00
1.084597470497325800e+00,9.357930339812339793e-02,4.429614751835873498e+00,5.030880632680015951e-01
2.842013894826269649e-01,4.820776356988247247e-01,5.274192851614687427e-01,1.878595189945560850e+00
1.482742747878903755e-01,2.669539331948024563e-02,2.856740763961968188e+00,2.355006637201868813e-01
5.092474767832771976e-01,4.389735210738714838e-02,1.094215974703225180e+00,7.193205086959907346e-01
1.384516326038180180e-02,1.661877860703307785e+00,1.600510626197072794e-01,3.604880701657400821e-02
3.984255348350367737e-02,1.997556134389187055e-01,3.110533015320458006e+00,1.144002153303023350e+00
1.102792995817951649e-01,8.847191159254824688e-01,6.559694861500781071e-02,6.643047335530701814e-01
2.236514753221897633e-01,2.747205153423007418e-01,1.769042860434244080e+00,2.676434854390452589e-01
6.372124583203316872e-01,2.644092033578141487e-01,1.149408958746685139e+00,3.399691066215205559e+00
2.902905761477698188e-01,7.720544820154044696e-02,2.330326207481432821e+00,9.995036235673046554e-02
6.181734923147217398e-01,7.193548523527067140e-02,5.665764303727578444e+00,9.785037529464459816e-01
2.056350787568395899e-01,2.897384802731536434e-03,1.889351772801227236e+00,3.539409392871763593e+00
6.842125832591632317e-01,4.047070507392764860e-01,1.069348526805840721e-01,2.434617634926429519e-01
1.239155489017280232e+00,6.441605252212758703e-01,4.995985494200095856e-01,2.215910224106790061e+00
1.276814229538644652e+00,5.410701130115195268e-01,5.477173911111489213e-01,1.866231792155401692e-01
2.020169561036655903e+00,5.091193336982601236e-01,1.469806284633950466e-01,1.870842260900525966e+00
5.332146928332290869e-01,5.235463973817218175e-01,1.363149710470734410e+00,5.833019990062311422e-01
5.247707097303868640e-01,9.656780584309183624e-01,1.379716759605544851e+00,4.448121562997615630e-01
2.164390754959127638e-01,1.990982812590074424e-01,7.755735297738398648e-01,2.854448600364026811e-01
4.956613859518445575e-01,4.220551633420821513e-01,2.553248600544559821e-01,1.440804584131598065e-01
6.265282886930678696e-01,5.620712730223494935e-01,6.677804744166729867e-01,1.086873904589302331e+00
3.913899318625948531e-01,4.344010551128305031e-01,7.058517512689764795e-01,5.545764720680139426e-02
1.668993327360321910e+00,1.766969438887296517e+00,4.884072861607230642e+00,3.783878140741348539e-01
