alt_km,n_total_km3,n_payload_km3,n_rb_km3,n_debris_km3,n_starlink_km3
150,2.55319e-10,2.43922e-10,9.54833e-12,1.84895e-12,2.42415e-10
151,2.6694e-10,2.53313e-10,1.24599e-11,1.1668e-12,2.51835e-10
152,1.88889e-10,1.76907e-10,1.10337e-11,9.48174e-13,1.75455e-10
153,1.66625e-10,1.54404e-10,1.13784e-11,8.42593e-13,1.52977e-10
154,1.57233e-10,1.47019e-10,9.43841e-12,7.75643e-13,1.45617e-10
155,1.58452e-10,1.49071e-10,8.65295e-12,7.27568e-13,1.47692e-10
156,1.70794e-10,1.61982e-10,8.12144e-12,6.90452e-13,1.60624e-10
157,2.06933e-10,1.98556e-10,7.71624e-12,6.60407e-13,1.97219e-10
158,4.04743e-10,3.96155e-10,7.95256e-12,6.35262e-13,3.94837e-10
159,1.01223e-11,1.29942e-12,8.20921e-12,6.13693e-13,0
160,9.36996e-12,1.28157e-12,7.49355e-12,5.9484e-13,0
161,1.29847e-11,1.26448e-12,1.11421e-11,5.78116e-13,0
162,2.06551e-11,1.24809e-12,1.88439e-11,5.63103e-13,0
163,1.56881e-11,1.23235e-12,1.39063e-11,5.49493e-13,0
164,1.86987e-11,2.4132e-12,1.57484e-11,5.37053e-13,0
165,2.00153e-11,2.02048e-12,1.74692e-11,5.25606e-13,0
166,1.70261e-11,1.75939e-12,1.47517e-11,5.1501e-13,0
167,1.65012e-11,1.64079e-12,1.43553e-11,5.05151e-13,0
168,1.47586e-11,1.56543e-12,1.26972e-11,4.95937e-13,0
169,2.89862e-10,2.7634e-10,1.30345e-11,4.87294e-13,0
170,1.41253e-10,1.2404e-10,1.67336e-11,4.79157e-13,0
171,1.15403e-10,9.77796e-11,1.71515e-11,4.71474e-13,0
172,9.99936e-11,8.51355e-11,1.43939e-11,4.64199e-13,0
173,9.60144e-11,7.77032e-11,1.78539e-11,4.57293e-13,0
174,8.87918e-11,7.29859e-11,1.53551e-11,4.50723e-13,0
175,8.43398e-11,6.99545e-11,1.39408e-11,4.44461e-13,0
176,8.16593e-11,6.81159e-11,1.31049e-11,4.38479e-13,0
177,8.28769e-11,6.9954e-11,1.24902e-11,4.32756e-13,0
178,8.09431e-11,6.85179e-11,1.19979e-11,4.27273e-13,0
179,8.29091e-11,6.89653e-11,1.35218e-11,4.2201e-13,0
180,3.77569e-10,3.6099e-10,1.61622e-11,4.16954e-13,0
181,2.8503e-10,2.70242e-10,1.43758e-11,4.12088e-13,0
