rho_star_150_465,rho_star_465_495,rho_star_495_570,rho_star_570_700,rho_star_700_1000,rho_star_1000_2000
0.0516563902,0.148166559,0.940277929,0.674631572,4.65829943,2.20126442
0.0335440304,0.501366739,1.3351089,0.674996617,7.25920185,3.62352991
0.0539348839,0.130224263,0.686958836,0.87380529,6.6458768,5.38635781
0.0786356599,0.460568474,1.30939228,2.24691443,6.4811134,8.68170654
0.14384741,0.59047408,2.19717075,3.08978364,10.3219915,4.98728104
0.090327003,0.190586051,0.78958683,0.873181231,3.7672052,4.50349563
0.0100079368,0.0281537225,0.15063646,0.252212822,2.18190275,1.5338866
0.0364795093,0.577242259,2.63479529,1.04593081,9.11344966,4.6329339
0.00948199711,0.0280186443,0.113534556,0.17239178,1.16355049,0.46268713
0.0318607478,0.401306374,1.17102499,1.20837168,11.2765514,4.73983274
0.0163246099,0.108916709,0.334339418,0.366563043,3.08954732,2.07884351
0.0270328085,0.098503705,0.348845934,0.523768148,6.09163655,0.368341431
0.0301323808,0.0890469638,0.634350238,0.975237831,8.79068308,3.60038528
0.00553964804,0.0427541405,0.165391679,0.406028799,2.76181009,1.71450668
0.0413439127,0.214567363,1.04228977,0.833105122,8.13647127,3.45084477
0.0277388239,0.15592533,0.800058545,0.604059787,4.91414939,1.02771949
0.0101826148,0.0311235032,0.209135741,0.290466964,0.971025911,0.571726135
0.0170173246,0.129943944,0.309642794,0.453859696,1.15004469,0.719053712
0.00984669536,0.0636624973,0.252670417,0.356403023,4.1763362,1.48219538
0.00882093762,0.096397564,0.375888226,0.68386729,1.34351905,0.805466213
0.0143987945,0.0699018655,0.474149844,0.582726796,2.51429563,2.25396915
0.181257568,1.44254786,1.88357556,2.25350755,60.1275896,8.70577541
0.0231550669,0.141112931,0.57334653,0.593335236,2.10393564,1.26289957
0.0130105992,0.0816577878,0.698448704,0.379861845,5.93843705,1.9347739
0.0281016181,0.126291794,0.658369754,0.789741374,6.41847304,2.15142914
0.119167399,0.616337183,5.56604848,4.24086761,44.4090573,5.55714404
0.0448404343,0.0576415929,0.467228156,0.293897361,3.44278368,2.76112818
0.0388531905,0.0561342038,0.345688673,0.752752687,7.79645987,1.03810191
0.0290928073,0.127488522,1.59023546,2.23589093,12.0451406,4.85104381
0.101023645,0.527746542,1.11296504,0.655258091,8.23214104,2.15313688
0.0272656625,0.131773835,0.467958656,0.734324932,2.9678909,3.55453085
0.0298815133,0.160681726,0.751224807,0.569336332,2.7615487,4.89044232
0.0470688708,0.469926437,1.06101442,1.34702486,9.76852647,4.6529428
0.0228652271,0.0644442323,0.274294932,0.28500457,0.917661274,0.428686973
0.0241172432,0.0546671931,0.229517636,0.380606961,3.05245379,1.04087275
0.223086083,0.18595278,1.94989629,2.1207306,8.77879167,2.3713902
0.0389833957,0.197357875,0.717331821,0.984278285,2.53175391,4.02490662
0.0067729217,0.0253450511,0.134718006,0.130482319,0.945621501,0.428095499
0.0194835559,0.0937184786,0.667904281,0.77609864,3.87670059,2.21133836
0.0846978332,0.411236989,1.66094159,2.80285703,7.35243211,2.70623975
0.0460432398,0.1065011,0.352842173,0.368409342,1.29489394,1.38564645
0.0191135495,0.115263406,0.439381625,0.728970715,9.0820662,1.37472625
0.0703788719,0.419277346,2.83367142,1.40300385,7.61484915,5.75633098
0.0323251822,0.151789667,0.742529173,0.452312742,3.18262695,1.65599733
0.0686831207,0.176794923,0.675541341,1.35105006,2.64637305,0.70346224
0.0151545983,0.143535379,0.534962241,0.740479282,3.37797137,2.62675945
0.0232955436,0.100082439,0.441784681,0.294404577,8.05614683,1.7915199
0.0210569882,0.0602115572,0.415740337,0.601825784,2.91745133,0.489405811
