theta,k,L,Qd,n,u,M,Qeq,Qstar,Qoa,region_eq,fstar_cournot
1251992.67,174374.03,461630.586,108216.443,4,0.660528755,19.7516983,74505.796,93127.4953,93132.245,1,-269313.248
1765.58557,319472.936,9032635.58,131257.018,10,0.439378889,19.9163884,0,0,0,0,-318890.287
16868.9142,54152.1484,1863463.4,41853.1016,4,0.302876327,10.9783457,0,0,0,0,-37451.4605
1130691.29,205955.833,5060237.76,931600.988,9,0.896663893,5.07122035,680302.724,750982.633,755891.915,2,-95934.6886
5847.36298,31020.5619,832396.824,35573.2756,7,1.83316577,3.48251701,0,0,0,0,-25628.0191
1833774.76,120054.057,1120990.02,57950.9321,7,0.849988707,13.5584689,47377.0332,54141.7913,54145.1809,1,-244654.083
71022.5313,409497.258,2187815.77,402770.849,9,2.00693827,25.1003677,0,0,0,0,-339783.463
994.805623,574558.798,6399036.58,22921.4365,3,0.539772811,3.97380774,0,0,0,0,-574593.509
3333.19042,306468.176,3182484.62,39313.9876,4,0.674637524,3.49882781,0,0,0,0,-303774.933
38994.1726,270341.965,1123011.92,64324.7346,6,0.684312796,6.81262238,0,0,0,0,-231576.851
6493.42109,526706.928,407512.681,15168.4431,6,0.89868298,0.684240883,0,0,0,0,-520322.665
1257.54419,118939.949,4246781.18,45145.1941,5,0.8249785,3.11133017,0,0,0,0,-118726.668
11716.1814,151540.109,3104311.49,20006.6157,2,0.667945953,25.1003677,0,0,0,0,-140441.964
1058.00926,224109.531,1697488.12,108459.861,10,1.92359887,2.66705621,0,0,0,0,-224024.782
1938573.43,294645.926,5143979.08,172504.746,8,0.620403056,10.0548028,129892.361,146051.686,146128.907,2,-204395.288
803818.972,69166.3399,4834043.02,254007.22,10,0.468559558,13.7743543,210590.528,231349.293,231649.581,2,-72351.1493
1840515.72,68340.8932,1016075.1,37367.5574,6,3.72528258,3.17248198,30816.2985,35946.1241,35952.3482,2,-294816.728
66071.2474,244650.543,340967.3,131661.681,3,1.30328025,1.70271562,0,0,0,0,-178711.748
23646.6553,138522.703,3303564.87,684580.427,7,0.176926205,7.79144587,0,0,0,0,-115050.262
6477.83079,220772.679,3489477.99,52690.4558,3,0.735162949,7.45090968,0,0,0,0,-215059.479
6807.11681,431413.152,561407.118,444808.702,9,1.09447099,2.92419414,0,0,0,0,-424789.178
33818.1061,79110.7508,1341729.88,17883.5818,9,0.757729765,4.520692,0,0,0,0,-45595.6756
7526.2486,60863.464,1359120.76,132072.04,2,0.743600647,4.93046085,0,0,0,0,-53638.4503
27922.1631,315738.844,721748.161,77035.0503,9,0.859644237,6.27324925,0,0,0,0,-288001.613
449.031466,35489.1707,7373618.77,47188.1507,2,0.985619123,5.20003189,0,0,0,0,-37206.3329
118295.554,184282.414,346820.406,259456.077,7,0.651287454,6.2597945,0,0,0,0,-66054.1859
1504.96847,651363.83,4306339.04,235283.999,10,0.412270166,0.908456765,0,0,0,0,-650388.035
1847.75651,191592.372,975184.115,14814.5646,10,3.53491435,20.5828403,0,0,0,0,-190772.095
52884.5238,122708.493,868625.178,107152.354,6,0.336718011,16.1470593,0,0,0,0,-69911.1474
1045.44854,60162.9609,7714867.61,895130.716,7,0.877700973,12.713694,0,0,0,0,-61135.7976
767.765642,145705.657,1974985.4,75555.3151,6,2.71812417,4.39462,0,0,0,0,-146537.968
6272.0708,651768.616,1350298.19,884481.464,10,1.08196239,11.1789499,0,0,0,0,-645932.006
106462.274,86830.027,536054.033,535865.489,6,2.12063445,5.90983891,82419.8502,95115.8833,96156.4919,2,-2971.9765
37044.4322,783982.946,681454.915,45963.3811,7,1.75125207,9.78715291,0,0,0,0,-747294.221
15229.306,78766.5365,869101.974,45227.199,10,1.71488707,6.85849944,0,0,0,0,-63981.4665
1811560.61,729172.012,2551669.64,15196.862,10,0.81396406,2.37638581,8249.54469,9073.90027,9074.49916,1,-108098.42
2970865.89,882849.298,1236810.99,118487.728,5,0.667410007,7.71094487,69385.2306,83256.9077,83262.2768,1,-417392.557
39098.5837,420681.618,5681916.06,415410.139,9,0.321387796,24.1821246,0,0,0,0,-382127.326
193604.001,970139.708,312264.411,19007.878,8,0.762799089,5.20223767,0,0,0,0,-776606.705
1017807.99,948173.503,5824514.67,89762.2329,10,1.12760717,9.50723262,5420.49782,5945.79829,5962.5476,1,-6558.56692
348.114361,922566.451,504663.735,98889.8578,10,0.643847877,10.7092691,0,0,0,0,-922315.185
2798179.35,581461.912,890435.732,16664.6932,6,1.62402745,3.62354471,11313.4322,13198.6466,13199.0043,1,-369311.002
73644.7446,73546.7094,7041047.61,30166.689,10,0.345533356,18.8964505,0,0,0,0,-627.126246
