starlink_current,all_active_current,itu_m1_increment,fcc_50pct_increment
1898.72998,3699.84431,21180.1,46846.925
2666.31118,2272.36541,42173.2823,73795.6669
2458.97307,1469.97804,31939.3971,153204.781
2423.09213,3339.93391,11800.8618,60473.8436
1790.08499,3474.73261,35616.3298,109868.263
2337.08561,3681.42289,16030.2769,174380.569
2621.03413,3755.15182,16176.6033,39786.0874
1978.88805,2824.69554,21560.2946,161980.48
1770.92623,3221.24689,14720.0866,97547.6941
2415.78116,901.986482,21183.5561,64820.7931
2068.61021,1484.00169,7865.893,59235.74
1742.96675,1242.72075,25760.4254,196780.433
2070.37358,3090.0805,40586.7692,223905.585
2515.04028,878.589371,34086.2687,76175.084
2026.78192,1780.54426,38251.1243,123171.4
1912.56078,1196.65544,47390.0594,222448.703
1723.47406,4012.61531,32403.9139,82518.4721
2673.57267,2112.86984,44326.2926,234243.245
2626.03372,2654.32787,16874.4783,95272.725
1734.79533,2139.30256,41198.9877,119151.343
2074.19525,908.164584,24863.4304,48311.1368
1963.08294,830.612775,39659.2074,118948.596
2418.82886,1690.47565,34899.217,160609.869
1787.76461,1115.05829,6353.13124,129272.4
2021.78558,2335.81227,38964.7468,218619.165
2298.69532,2368.27406,12442.1497,130003.341
2326.45064,3792.57353,29799.0068,138525.943
1957.43605,1541.60359,30408.8596,233731.359
1844.91431,3595.63247,37862.5926,242694.136
2035.97141,2091.67972,9625.25393,201917.974
2007.82666,1469.61287,8100.58524,32803.561
1745.59665,3063.23233,44199.0211,220834.044
1786.53446,2403.81994,11809.454,154171.936
2088.8438,3232.85936,19604.4524,94124.6019
2325.92988,999.287391,39518.4284,154471.597
2680.52,875.236086,16016.2355,127536.47
2277.3794,2669.00381,38348.4402,90049.8596
2127.97313,3333.72498,10518.7848,150594.656
1948.07778,2305.60282,21517.7152,117300.928
1963.37258,2556.25775,39437.7591,219273.904
1799.31553,1566.49635,26645.1346,115543.556
2117.45876,2555.15377,9550.23544,168971.834
2432.5789,1813.84257,21647.6044,94288.4115
2538.44234,3592.54795,31659.974,246471.873
1892.30556,1915.17801,15947.4521,122506.688
2068.71954,2383.14747,12261.5582,110066.052
1756.13523,2561.75372,26263.9476,218810.609
2535.5433,3341.83099,33857.6954,35481.5233
2582.3415,2493.84159,39895.7178,46450.223
1812.00237,3407.68489,28159.4604,165879.737
2526.09829,3301.20875,28567.2887,54678.3695
2107.34112,1933.90542,21620.2699,155920.726
2547.63446,1770.6672,26189.3982,246225.208
1843.39807,3835.55882,25907.9536,33286.9128
1782.44173,2515.95663,36730.248,204415.633
1780.29106,2185.51397,35397.4704,144087.923
2101.70799,1261.81593,19980.5182,106043.267
2130.82451,2422.52642,18708.6882,197147.822
2076.46817,3128.82761,23385.9433,49567.9285
2120.04085,1915.51552,49862.9628,35368.0088
2506.79018,831.403428,25830.9195,202402.978
1753.90013,945.288281,33032.7625,232098.239
2164.06577,1708.30405,36334.8374,125199.859
2207.76181,836.863126,9162.36825,118009.765
1838.6239,1076.48116,26933.0595,198238.159
2517.1938,3234.39102,46566.762,80004.3265
2209.51548,3219.16884,46091.0409,69964.6142
1905.20906,4045.4619,37962.4096,95946.428
2460.98802,2315.45703,43103.4595,36258.7889
2069.74664,3782.90056,30267.9937,205574.587
2465.49272,1131.42347,13268.81,213158.853
2584.85031,2875.09328,7044.94993,111830.004
2072.44274,2967.01437,30593.4742,189743.509
2440.34995,1056.09417,38155.5315,171386.465
1809.76062,1262.11203,10234.9905,45907.3305
2148.63081,3987.37078,22554.1027,147268.372
2181.20008,3613.92784,22524.8665,95024.4481
2417.77449,3391.63339,12945.9821,62064.2363
2155.87231,1455.24678,11458.541,224885.37
2092.55877,2856.61745,43831.6308,73378.7623
2341.51292,2143.30253,45452.6407,248207.005
