floor_rate,floor_agg,coupled_t_rate,coupled_t_agg
0.056004,47.460895,0.029863,25.307055
-0.001063,-0.900588,0.009954,8.435887
0.035877,30.404157,0.052490,44.483196
0.056403,47.799022,0.019517,16.540017
0.024272,20.569206,0.033094,28.045170
0.010177,8.624172,0.027274,23.113277
0.048333,40.959655,0.046443,39.358150
0.046526,39.428328,0.034054,28.858762
0.007874,6.672578,0.015858,13.439300
0.003405,2.885840,0.082713,82.878340
0.002182,1.849300,0.053634,45.451976
0.016085,13.631236,0.069832,69.971167
0.003257,2.760258,0.018166,15.394917
0.043402,36.781503,0.039021,33.068252
0.035562,30.137453,0.018314,15.520213
0.029894,25.333892,0.024083,20.409571
0.059365,50.308964,0.014182,12.018746
0.027320,23.151990,0.019872,16.840574
0.025051,21.229885,0.065464,55.477927
0.008103,6.866558,0.024615,20.860114
0.033595,28.470407,0.058447,58.563751
0.011116,9.420157,0.005020,4.254584
0.012600,10.677575,0.005583,4.731520
0.064015,54.249397,0.012557,10.641047
0.008290,7.025069,0.014221,12.051685
0.020678,17.523369,0.038149,32.329285
0.065272,55.314566,0.019889,16.854775
0.031621,26.796960,0.007396,7.410487
0.036065,30.563496,0.077797,65.929212
0.033015,27.978561,0.015071,12.772067
0.010585,8.970210,0.024324,20.613042
0.038397,32.539407,0.030310,30.370085
0.065609,55.600674,0.017111,14.500709
0.026452,22.417015,0.055320,46.881469
0.031056,26.318100,0.014431,12.229214
0.058908,49.921984,0.039415,33.402629
0.022947,19.446831,0.026502,22.459431
0.034747,29.446413,-0.005360,-4.542069
0.022473,19.044955,0.065765,55.732951
0.050143,42.493714,0.005606,4.750733
0.013959,11.829616,-0.004685,-3.970052
0.049239,41.727678,0.035025,35.094909
0.029126,24.682760,0.014867,12.599222
0.012279,10.405888,-0.004886,-4.140491
0.009581,8.119551,0.028892,24.484347
0.016459,13.948527,0.015199,12.880415
0.029952,25.382817,0.074011,74.158948
0.029128,24.684950,0.044566,37.767238
0.041947,35.548450,0.043494,36.858975
0.049525,41.969773,-0.001909,-1.618201
0.012492,10.586700,-0.005146,-4.361333
0.057154,48.435491,0.040648,34.446952
0.033290,28.211971,0.034797,29.488626
0.019532,16.552480,0.015249,12.922649
0.028435,24.097574,0.044602,37.797837
0.004506,3.818425,0.005724,4.851196
0.010690,9.059552,0.006306,5.344195
0.029475,24.978537,-0.000573,-0.485306
0.035479,30.066997,0.018463,15.646611
0.027287,23.124137,0.015951,13.518010
0.028605,24.241753,0.008978,7.608653
0.029229,24.770503,0.058570,49.635226
0.035722,30.272559,0.018833,15.960195
0.053743,45.544773,0.006427,5.446508
0.044454,37.672809,0.023477,19.895606
0.050838,43.082832,0.040703,34.493943
0.027201,23.051511,0.017984,15.240511
0.052522,44.510036,0.049783,42.189110
0.033094,28.045322,0.045459,38.524108
0.054164,45.901799,0.049148,41.650276
0.020240,17.152086,0.033771,28.619443
0.016882,14.306723,0.050853,50.953982
0.010200,8.643607,0.008378,7.100034
0.018256,15.471413,0.018593,15.756582
0.022933,19.434882,0.015909,13.482308
0.021522,18.238596,0.012394,10.503521
0.017265,14.631640,0.028219,23.914047
0.026516,22.471118,0.062830,53.245746
0.047067,39.887256,0.044318,37.557208
0.051920,43.999731,0.046950,39.787985
0.018251,15.466786,0.059938,50.794601
0.005367,4.548489,0.023285,23.331583
0.003348,2.836949,0.021644,18.342571
0.006120,5.186197,0.020165,17.088889
0.028394,24.062818,0.053450,45.296269
0.023190,19.652508,0.024295,20.589083
0.006478,5.489587,0.065697,55.675374
0.008247,6.988746,0.029916,25.352318
0.005919,5.016161,0.051768,43.870551
0.048626,41.208265,0.015692,13.298097
0.024241,20.542794,0.064139,64.266937
0.047067,39.887067,0.014875,12.606256
0.004687,3.971717,0.016469,13.956843
0.025144,21.308152,0.000647,0.548553
0.044571,37.771902,0.066850,56.652472
0.031020,26.287909,0.007662,6.493067
0.031338,26.557558,0.050675,42.944895
0.038671,32.771899,0.015230,12.906452
0.056252,47.671230,0.033405,28.308777
0.012351,10.466811,0.047125,39.935869
0.014217,12.048209,0.014001,11.865544
0.028883,24.476720,0.010560,8.949238
0.052133,44.179877,0.031933,27.061517
0.052626,44.598019,0.013402,11.357902
0.016682,14.137103,0.017747,17.782000
0.052339,44.355138,0.038864,32.935255
0.054481,46.169696,0.056894,48.214967
0.033817,28.658488,0.047715,40.436450
0.026584,22.528848,0.012486,10.580923
0.052634,44.604916,0.098440,98.636851
0.007976,6.759702,0.012500,10.593188
0.016756,14.200276,0.050690,50.791443
0.013898,11.777600,0.059713,50.603836
-0.003078,-2.608769,0.017409,14.753056
0.055435,46.978263,0.021765,18.445100
0.023553,19.959716,0.036163,30.646047
0.043692,37.027086,0.030738,26.049245
0.023559,19.965431,0.039612,33.568963
0.016069,13.617724,0.023392,19.823802
0.020815,17.639603,0.039369,33.363444
0.006287,5.328228,0.030441,25.797561
0.021858,18.523553,0.001264,1.071294
0.049994,42.367897,0.058128,49.260560
0.031721,26.881991,0.018162,15.391296
0.005015,4.250038,0.047967,40.650103
0.029077,24.640974,0.037377,31.674981
0.060263,51.070371,0.024850,24.899374
0.044546,37.750864,0.000048,0.048280
0.025316,21.454115,0.056558,47.930495
0.030474,25.825384,0.031412,26.619927
0.029048,24.616564,-0.012274,-10.401450
0.019238,16.303074,-0.001688,-1.430375
0.042136,35.708437,0.065841,55.797250
0.031476,26.674359,0.042339,35.879985
0.026014,22.045975,0.023968,20.311405
0.053307,45.175557,0.029794,25.248794
0.032626,27.649100,0.025158,21.320560
0.055116,46.708427,0.046308,39.244141
0.016998,14.404909,0.016953,14.366551
0.021831,18.501124,0.020689,17.533042
0.054295,46.012299,0.020500,17.372820
0.053355,45.215895,0.012731,10.788550
0.030317,25.691846,0.017058,14.456240
0.022626,19.174330,0.050704,42.968900
0.032936,27.911871,0.015408,13.057707
0.040386,34.225211,0.010614,8.995115
0.047454,40.214939,0.053342,45.204633
0.010958,9.286565,0.057175,48.453157
0.025581,21.678971,0.045232,45.322195
0.022424,19.003103,0.028264,23.952122
0.047920,40.609771,0.023679,20.066605
0.031219,26.456229,0.020818,17.642527
0.027698,23.472503,0.034849,29.532708
0.031437,26.641057,0.024101,20.424266
0.054292,46.009472,0.027253,23.095702
0.059889,50.752956,0.065191,55.245971
0.045550,38.601406,0.030073,25.485844
0.015307,12.972044,0.021096,17.877707
0.027552,23.348884,0.030530,25.872765
0.023430,19.855609,0.026526,22.479719
0.040198,34.065696,0.027997,23.726512
0.023615,20.012990,0.041432,35.111232
0.012690,10.754245,0.019086,16.174899
0.051253,43.434654,-0.011166,-11.188117
0.025712,21.789600,-0.025573,-25.623580
0.017614,14.927286,0.028584,24.223204
0.022711,19.246467,0.023670,20.059238
0.006114,5.181598,0.030400,25.762663
-0.000143,-0.121138,0.026284,22.274090
0.001960,1.661103,0.011050,9.363960
0.019877,16.844693,0.032364,27.427294
0.009097,7.709517,0.007342,6.222306
0.022508,19.074542,0.024140,20.457903
0.024090,20.414761,0.007158,6.066375
0.048576,41.165514,0.063881,54.136221
0.054677,46.336479,0.018204,15.427335
0.017033,14.434770,0.028890,24.482625
0.013782,11.679369,0.022067,18.700673
0.003004,2.545717,0.039420,33.406345
0.023340,19.779765,0.007268,6.159586
0.058303,49.408783,0.028576,28.633331
0.057125,48.410439,-0.002953,-2.502190
0.022006,18.648839,0.010474,8.876196
0.057158,48.438378,0.032050,27.160587
0.033560,28.440883,0.047073,39.892510
0.011959,10.134537,0.057820,48.999708
0.029887,25.327888,0.011853,10.044493
0.032996,27.962442,0.021754,18.435783
0.028222,23.917115,0.021408,18.141848
0.020905,17.716157,0.034703,29.408828
0.008464,7.173193,0.041318,35.014729
0.029756,25.217093,0.024746,20.970768
0.051180,43.372973,0.041910,35.516899
0.045315,38.402231,0.028516,24.165834
0.028151,23.856248,0.018267,15.480534
0.017225,14.597008,0.050701,42.966706
0.025432,21.552526,0.038835,32.910403
0.025241,21.390812,0.065674,65.805125
0.014053,11.909292,0.039739,33.677330
0.037387,31.683783,0.031217,26.455336
0.030937,26.218009,0.006954,5.893383
0.035708,30.260596,0.048440,41.050857
0.025247,21.395261,0.036775,31.165128
0.034099,28.897055,0.033089,28.041447
0.013620,11.542050,0.067514,57.215125
0.005316,4.504639,0.040699,34.490611
0.041011,34.754458,0.042865,42.950403
0.036687,31.090424,0.025604,21.698152
0.012180,10.322183,0.050602,42.882753
0.018932,16.044139,0.011690,9.906728
0.034114,28.910110,0.056152,47.586537
0.011803,10.002845,-0.056514,-56.626887
0.007583,6.426255,0.025021,25.070477
0.022548,19.108282,0.025374,21.503221
0.007254,6.147332,0.010616,8.996533
0.043264,36.664355,0.001011,0.856738
0.036811,31.195223,0.008378,7.099953
0.042929,36.380138,0.022203,18.815606
0.056537,47.912052,0.024299,20.592424
0.032759,27.761836,0.017302,14.662648
0.048586,41.174620,0.039652,33.602845
0.053772,45.569151,0.015179,12.863148
0.027643,23.425799,0.034793,29.485560
0.048344,40.969232,0.006269,5.313101
0.040676,34.471222,0.018894,16.012143
0.048184,40.833788,0.012650,10.720471
0.022803,19.324298,0.018840,15.965688
0.032302,27.374062,0.007961,6.746531
0.033355,28.267021,0.040472,40.552926
0.049561,42.000350,0.028689,24.312594
0.032651,27.669948,0.045428,38.498351
0.002308,1.955828,0.025477,21.590436
0.024409,20.685401,0.016538,14.014883
0.030006,25.428308,0.063112,53.484019
0.054068,45.820401,0.066012,55.942324
0.013800,11.694847,0.021282,18.035771
0.021508,18.226915,0.046047,39.022899
0.053231,45.110926,0.022975,19.469949
0.025239,21.389245,0.008382,7.103722
0.029471,24.974991,0.010120,8.575966
0.029878,25.320586,0.011276,9.556004
0.021010,17.805240,0.049580,42.016584
0.017878,15.150538,-0.004856,-4.115026
0.040922,34.679527,0.060609,51.363169
0.023594,19.995103,0.051004,43.223241
0.051434,43.587545,0.033283,28.205803
0.021489,18.210708,0.048643,41.222695
0.050895,43.130858,0.010649,10.669792
0.025151,21.314244,0.028079,23.795768
0.049136,41.640603,0.015518,13.150366
0.015434,13.079976,0.010742,9.103684
0.009945,8.427575,0.026965,22.851400
0.028083,23.798972,0.034950,29.618762
0.011761,9.967202,0.000974,0.976377
0.037752,31.993444,0.006947,5.887674
0.021516,18.233408,0.027934,27.989548
0.030730,26.042556,0.000712,0.713843
0.004745,4.021450,0.004075,4.083596
0.029140,24.694621,0.045255,38.351305
0.032330,27.398424,0.035897,30.421128
0.026444,22.409622,0.058353,49.451061
0.007110,6.025217,0.020870,17.686206
